number,origin kanji,kanji,reading,particle_before,particle_after,meaning,usefulness,components,labels,description
1,一,もう一度,もういちど,,,one more time!,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1-one-line-radical-%E4%B8%80"">一</a> (one) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1144-times-%E5%BA%A6"">度</a> (times)
 = もう一度 (one more time!)",,
1,一,一緒,いっしょ,,に,together,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1-one-line-radical-%E4%B8%80"">一</a> (one) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/257-together-%E7%B7%92"">緒</a> (together)
 = 一緒 (together)",,
1,一,一人,ひとり,,で,"one person, alone",★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1-one-line-radical-%E4%B8%80"">一</a> (one) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/61-person-%E4%BA%BA"">人</a> (person)
 = 一人 (one person, alone)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/8"" title=""FP stands for FUCKED PRONUNCIATION – the Japanese equivalent of English’s silent ‘p’ in ‘psychology’"">FP</a>",
1,一,一般的,いっぱんてき,,な,ordinary,★★★★★,"<a href=""http://www.kanjidamage.com/kanji/1-one-line-radical-%E4%B8%80"">一</a><a href=""http://www.kanjidamage.com/kanji/1451-general-overall-%E8%88%AC"">般</a> (generally, commonly) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1430-motivation-al-%E7%9A%84"">的</a> (motivation / '-al')
 = 一般的 (ordinary)",,"<p>One of many many Japanese words for 'normal.' The nuance of いっぱんてき　is ordinary, non-special - as opposed to a member of a special group of people of things. 一般的な人 means, an average person. As in, 'an average person is not allowed in this Yakuza bar.'</p>"
1,一,一日,ついたち,,,first day of the month,★★★★☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1-one-line-radical-%E4%B8%80"">一</a> (one) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/23-sun-day-%E6%97%A5"">日</a> (sun, day)
 = 一日 (first day of the month)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/8"" title=""FP stands for FUCKED PRONUNCIATION – the Japanese equivalent of English’s silent ‘p’ in ‘psychology’"">FP</a>",
1,一,一番,いちばん,,,number one!,★★★★☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1-one-line-radical-%E4%B8%80"">一</a> (one) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/395-number-%E7%95%AA"">番</a> (number)
 = 一番 (number one!)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/15"" title=""a NEOLOGISM. For instance, wheel-chair became 車椅子　（car-chair), and space-ship became 宇宙船 (universe vessel)."">NEO</a>",<p>the best! Number one!</p>
2,二,二人,ふたり,,で,two people,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/2-two-%E4%BA%8C"">二</a> (two) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/61-person-%E4%BA%BA"">人</a> (person)
 = 二人 (two people)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/8"" title=""FP stands for FUCKED PRONUNCIATION – the Japanese equivalent of English’s silent ‘p’ in ‘psychology’"">FP</a>",
2,二,二月,にがつ,,,February,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/2-two-%E4%BA%8C"">二</a> (two) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/41-moon-organ-%E6%9C%88"">月</a> (moon)
 = 二月 (February)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/12"" title=""Yet another only-in-Japanese headache: All kanji are written as hiragana. . . TO SOME EXTENT."">KANA</a>",
2,二,二日酔い,ふつかよい,,,hangover,★★★★☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/2-two-%E4%BA%8C"">二</a> (two) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/23-sun-day-%E6%97%A5"">日</a> (sun, day) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/579-drunk-%E9%85%94"">酔</a> (drunk)
 = 二日酔い (hangover)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/20"" title=""Japanese sarcasm tends towards subtle irony ,and can be pretty rewarding if you can determine that a joke has, in fact, been made. "">SARC</a>",<p>hangover (literally: 'paying for your drink'）</p>
2,二,二日,ふつか,,,second day of the month,★★★★☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/2-two-%E4%BA%8C"">二</a> (two) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/23-sun-day-%E6%97%A5"">日</a> (sun, day)
 = 二日 (second day of the month)",,
